Nome da Música;Artistas;ID da Música
No More Lies;";";"Thundercat; Tame Impala";";";62tGzw9OJOwDcjPBnMPCuj
New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix;";";"Gorillaz; Tame Impala; Dom Dolla; Bootie Brown";";";2c3KCGq6UojB2c8UAFrRON
New Gold (feat. Tame Impala and Bootie Brown);";";"Gorillaz; Tame Impala; Bootie Brown";";";4CMX86HeqhcmP1ou1szGKN
New Gold (feat. Tame Impala and Bootie Brown);";";"Gorillaz; Tame Impala; Bootie Brown";";";64dLd6rVqDLtkXFYrEUHIU
Turn Up The Sunshine - PNAU Remix / From 'Minions: The Rise of Gru' Soundtrack;";";"Diana Ross; Tame Impala; PNAU";";";3wR5OccDugBm5Od2NYcMaO
Turn Up The Sunshine - From 'Minions: The Rise of Gru' Soundtrack;";";"Diana Ross; Tame Impala";";";5FH5U5zlicxKUXK6DruWKM
Breathe Deeper - Lil Yachty Remix;";";"Tame Impala; Lil Yachty";";";5yZ12swWHCmaWZJoFI8oW1
Patience - Maurice Fulton Remix;";";"Tame Impala; Maurice Fulton";";";6OZEWmc80WHiWZ1YVcWhcZ
Is It True - Four Tet Remix;";";"Tame Impala; Four Tet";";";4kC9lRFt1rQdmKtMypM9Ux
Borderline - Blood Orange Remix;";";"Tame Impala; Blood Orange";";";0WsYgBmIECcY16YYiAenCi
Breathe Deeper - Lil Yachty Remix;";";"Tame Impala; Lil Yachty";";";6GtOsEzNUhJghrIf6UTbRV
Borderline - Blood Orange Remix;";";"Tame Impala; Blood Orange";";";7IbGa7PhnXHvUOvhELtGgL
Is It True - Four Tet Remix;";";"Tame Impala; Four Tet";";";5Yc2SVCeXXcDdALmmXIslb
Guilty Conscience - Tame Impala Remix Extended;";";"070 Shake; Tame Impala";";";7qDUOLnOLYKTwzvCJDnYRf
Guilty Conscience - Tame Impala Remix;";";"070 Shake; Tame Impala";";";4nNkCxutxk68CulzSBy0Tq
Guilty Conscience - Tame Impala Remix Instrumental;";";"070 Shake; Tame Impala";";";2nwc1w2yyOXPCyTaphRQGN
Call My Phone Thinking I'm Doing Nothing Better;";";"The Streets; Tame Impala";";";6iL8HJz9hm6et1pU9JIvx2
My Life;";";"ZHU; Tame Impala";";";2NDZ6i6UfOUSKgFiTQKbnv
Reality In Motion - GUM Remix;";";"Tame Impala; GUM";";";6aFxp3szJUOyI8MSDBKbFB
Let It Happen - Soulwax Remix;";";"Tame Impala; Soulwax";";";5Z1E4jrUzitOQRczI8gfSL
Be Above It - Erol Alkan Rework;";";"Tame Impala; Erol Alkan";";";2UIn48DXVG1COJvVUGF2yw
Mind Mischief - The Field Remix;";";"Tame Impala; The Field";";";3F1hZN0HKt1YA83t2OwEFo
Elephant - Todd Rundgren Remix;";";"Tame Impala; Todd Rundgren";";";7sQEzE2K94XJ42SBg8Chh6
Elephant - Canyons Wooly Mammoth Extension;";";"Tame Impala; Canyons";";";6foKaOtQnyp6Nm4bEh4rQA
Why Won't You Make Up Your Mind? - Erol Alkan Rework;";";"Tame Impala; Erol Alkan";";";5T1huRejM5M0S7vhnNG01m
Lucidity - Pilooski Remix;";";"Tame Impala; Pilooski";";";7r1wTDekWIjz5sSoXpgmOC
41 Mojitos Poolside Dub;";";"Tame Impala; Canyons";";";40ppiA4zkitHegsv6A4Lhn
Canyons Sunrise Reprise;";";"Tame Impala; Canyons";";";6eSbtDJrtfUNT1JVvCE7Lw
"Solitude Is Bliss - Canyons ""Dow Jones"" Mix";";";"Tame Impala; Canyons";";";0BXaKTimYaoebjunHCZIwG
Solitude Is Bliss - Midnight Juggernauts Remix;";";"Tame Impala; Midnight Juggernauts";";";1CHMI7ukV63zojE0koJbsO
